structure_number,county,location,feature_carried,feature_crossed,owner,year_built,year_reconstructed,date_of_last_inspection_mmyy,bridge_condition,latitude,longitude
1017369,Nassau,'RTE 495+RTE 25 EB','RTE I495','RTE 25',State Highway Agency,1962,1998,0718,Fair,40.78319444433193,-73.55336388939672
1018069,Nassau,'RTE 24 AT NYC-NASSAU CL','RTE 24','PEDESTRIAN TUNNEL',State Highway Agency,1904,,0419,Fair,40.71038055621858,-73.72588611136469
1018079,Nassau,'.2 MI E NYC L-RTE 24','RTE 24','VEHIC-PED TO PRKG',State Highway Agency,1958,2012,0419,Fair,40.70986388878525,-73.72428888882321
1018080,Nassau,'700 FT W JCT SH 24 & MSP','RTE 24','CULVERT',State Highway Agency,1956,,1019,Good,40.72146666674845,-73.58281388936204
1018099,Nassau,'2.3 MI W JCT RTS 24+WSP','RTE 24','RTE 908E',State Highway Agency,1956,,0519,Fair,40.72219444403075,-73.58052222239355
1018109,Nassau,'JCT RTS 24+WSP','RTE 24','908T908T03011097 SB  RTE',State Highway Agency,1937,,0519,Good,40.72421111099265,-73.53782222200614
1018119,Nassau,'JCT RTS 24+135','RTE 135','24 24 03031137  RTE 24',State Highway Agency,1961,,0419,Fair,40.72596944376306,-73.4751749995808
1018129,Nassau,'.3 MI E JCT SH 24 & SH135','RTE 24','RTE 907E  BIKE PATH',State Highway Agency,1935,,0218,Good,40.72733333327208,-73.468516666932
1018169,Nassau,'3.9 MI E NYC LINE- SH 27','RTE 27','MERRICK ROAD - EB',State Highway Agency,1959,,0619,Fair,40.657394443741374,-73.65385833309458
1018179,Nassau,'3.9 MI E NYC LI ON RTE 27','RTE 27','SMITH POND OUTLET',State Highway Agency,1939,1958,1019,Fair,40.657169444187495,-73.65337777843504
1018219,Nassau,'RTE 25+RTE 106+ RTE 107','RTE 25','RTE 107',State Highway Agency,1962,,0919,Fair,40.7920694440923,-73.53962777823506
1018249,Suffolk,'.9 MI E JCT SH 110 & SH 2','GREAT NECK RD','27 27 07051012  RTE 27',State Highway Agency,1962,2014,0919,Fair,40.69067222191411,-73.403038888979
1018259,Suffolk,'IN BABYLON','WELLWOOD AVENUE','27  27 07051024  RTE 27',State Highway Agency,2017,,0719,Good,40.69852222178056,-73.38236388872882
1018260,Suffolk,'JCT SH 25 & NISSEQUOGUER','RTE 25','NISSEQUOGUE RIVER',State Highway Agency,1997,,0918,Good,40.858125000130784,-73.21083055558177
1018271,Suffolk,'JCT SH 27 & SH 109','RTE 109','RTE 27',State Highway Agency,1968,,0718,Fair,40.710622221867816,-73.36728888894183
1018272,Suffolk,'JCT SH 27 & SH 109','RTE 109','RTE 27',State Highway Agency,1968,,0718,Fair,40.71079166689156,-73.36733333309047
1018281,Suffolk,'RTE 25 AT RIDGE','RTE 25','CR46-WM FLOYD PKY',State Highway Agency,1966,,0618,Good,40.89602777811456,-72.88323888910786
1018282,Suffolk,'RTE 25 AT RIDGE','RTE 25','CR46-WM FLOYD PKY',State Highway Agency,1966,,0618,Good,40.89580833316936,-72.88328055566566
1018290,Suffolk,'.9 MI E JCT SH 27 & SH 10','BELMONT AVE','RTE 27',State Highway Agency,1968,,0818,Fair,40.71335555617156,-73.34834166698657
1018309,Suffolk,'1.4 MI E JCT SH 27 & SH 1','RTE 27','HUBBARDS PATH',State Highway Agency,1968,,0819,Fair,40.71376666686088,-73.33905000033751
1018329,Suffolk,'2.0 MI E JCT RTS 27+109','RTE 27','CARLLS RIVER  PARK PED.&',State Highway Agency,1932,,1119,Fair,40.714475000243354,-73.33131388877369
1018341,Suffolk,'JCT SH 231 & SH 27','RTE 231','RTE 27',State Highway Agency,1971,1996,0718,Good,40.717797221699215,-73.31434999964215
1018342,Suffolk,'JCT SH 231 & SH 27','RTE 231','27 27 07051065  27 27 07',State Highway Agency,1971,1996,0819,Fair,40.71798055570712,-73.31410555637525
1018360,Suffolk,'RTE 25A-COLD SPRING HRBOR','RTE 25A','COLD SPRING STREAM',State Highway Agency,1999,,1019,Good,40.857872221836566,-73.463938889075
1018399,Nassau,'RTE 25B+NSP EB','RTE 25B','RTE 908G',State Highway Agency,1934,2001,0319,Fair,40.759991667081934,-73.62377777778357
1019119,Suffolk,'JCT SH 110 + SH 27','RTE 110','27  27 07051004  27  27',State Highway Agency,2017,,0319,Good,40.68692222200418,-73.41913333288304
1019250,Suffolk,'ISLIP - SH 111 OVER SH 27','RTE 111','RTE 27',State Highway Agency,1988,,0918,Fair,40.74223611117037,-73.20742777770973
1019260,Suffolk,'0.8 MI E JCT SH 27 & SH 1','CARLETON AVE','RTE 27',State Highway Agency,1988,,0918,Fair,40.7431861109835,-73.19308333282751
